2026-04-04 16:18:05 | INFO     | service.image_service | → generate_image_urls() [IN]  prompt_preview='A striking urban fantasy girl painted in neon spray-paint emerging from a concre', n=1, size='1024*1024'
2026-04-04 16:18:05 | DEBUG    | service.image_service | → generate_image_urls() [IN] FULL  prompt_preview='A striking urban fantasy girl painted in neon spray-paint emerging from a concre', n=1, size='1024*1024'
2026-04-04 16:18:05 | INFO     | service.image_service | → _submit_image_task() [IN]  prompt_preview='A striking urban fantasy girl painted in neon spray-paint emerging from a concre', n=1, width=1024, height=1024
2026-04-04 16:18:05 | DEBUG    | service.image_service | → _submit_image_task() [IN] FULL  prompt_preview='A striking urban fantasy girl painted in neon spray-paint emerging from a concre', n=1, width=1024, height=1024
2026-04-04 16:18:05 | INFO     | service.image_service | ← _submit_image_task() [OUT]  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7', status_url='https://queue.fal.run/fal-ai/flux/requests/019d5aca-12f1-7e33-84ff-aee8395f61d7/status'
2026-04-04 16:18:05 | DEBUG    | service.image_service | ← _submit_image_task() [OUT] FULL  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7', status_url='https://queue.fal.run/fal-ai/flux/requests/019d5aca-12f1-7e33-84ff-aee8395f61d7/status'
2026-04-04 16:18:05 | INFO     | service.image_service | → _poll_image_task() [IN]  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7'
2026-04-04 16:18:05 | DEBUG    | service.image_service | → _poll_image_task() [IN] FULL  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7'
2026-04-04 16:18:06 | INFO     | service.image_service | • _poll_image_task() [INFO]  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7', status='IN_PROGRESS', elapsed_s=0
2026-04-04 16:18:06 | DEBUG    | service.image_service | • _poll_image_task() [INFO] FULL  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7', status='IN_PROGRESS', elapsed_s=0
2026-04-04 16:18:11 | INFO     | service.image_service | • _poll_image_task() [INFO]  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7', status='COMPLETED', elapsed_s=5
2026-04-04 16:18:11 | DEBUG    | service.image_service | • _poll_image_task() [INFO] FULL  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7', status='COMPLETED', elapsed_s=5
2026-04-04 16:18:11 | INFO     | service.image_service | ← _poll_image_task() [OUT]  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7', urls_count=1, urls=['https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg']
2026-04-04 16:18:11 | DEBUG    | service.image_service | ← _poll_image_task() [OUT] FULL  request_id='019d5aca-12f1-7e33-84ff-aee8395f61d7', urls_count=1, urls=['https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg']
2026-04-04 16:18:11 | INFO     | service.image_service | ← generate_image_urls() [OUT]  urls_count=1, urls=['https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg']
2026-04-04 16:18:11 | DEBUG    | service.image_service | ← generate_image_urls() [OUT] FULL  urls_count=1, urls=['https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg']
2026-04-04 16:18:11 | INFO     | utils.file_utils | → download_image() [IN]  url='https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg', suffix='.png'
2026-04-04 16:18:11 | DEBUG    | utils.file_utils | → download_image() [IN] FULL  url='https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg', suffix='.png'
2026-04-04 16:18:12 | INFO     | utils.file_utils | ← download_image() [OUT]  filepath='outputs/run_20260404_161805/96979332-cd76-4c81-8557-818e343ccb81.png', size_kb=239
